Time_s,Voltage_mV
0.873,-0.256982
0.874,-0.263795
0.875,-0.258929
0.876,-0.246601
0.877,-0.239139
0.878,-0.237192
0.879,-0.235246
0.88,-0.233299
0.881,-0.236219
0.882,-0.232001
0.883,-0.230379
0.884,-0.228757
0.885,-0.231677
0.886,-0.221295
0.887,-0.206371
0.888,-0.197612
0.889,-0.192745
0.89,-0.186257
0.891,-0.188203
0.892,-0.197287
0.893,-0.201181
0.894,-0.203452
0.895,-0.199883
0.896,-0.191448
0.897,-0.179119
0.898,-0.161276
0.899,-0.163547
0.9,-0.180417
0.901,-0.193394
0.902,-0.194043
0.903,-0.199883
0.904,-0.197936
0.905,-0.197287
0.906,-0.208318
0.907,-0.208642
0.908,-0.199558
0.909,-0.195016
0.91,-0.191123
0.911,-0.189826
0.912,-0.195665
0.913,-0.195665
0.914,-0.183661
0.915,-0.18139
0.916,-0.18431
0.917,-0.193719
0.918,-0.195341
0.919,-0.183337
0.92,-0.16744
0.921,-0.164845
0.922,-0.164196
0.923,-0.163547
0.924,-0.167116
0.925,-0.168738
0.926,-0.168413
0.927,-0.17036
0.928,-0.176848
0.929,-0.210913
0.93,-0.271582
0.931,-0.34912
0.932,-0.459426
0.933,-0.621641
0.934,-0.808188
0.935,-0.999276
0.936,-1.196529
0.937,-1.3409
0.938,-1.427522
0.939,-1.443419
0.94,-1.365232
0.941,-1.191987
0.942,-0.947368
0.943,-0.634294
0.944,-0.236543
0.945,0.233555
0.946,0.696517
0.947,1.151692
0.948,1.611735
0.949,2.019544
0.95,2.356953
0.951,2.643425
0.952,2.843924
0.953,2.983754
0.954,3.027877
0.955,2.936063
0.956,2.695334
0.957,2.345598
0.958,1.953685
0.959,1.563719
0.96,1.191597
0.961,0.824342
0.962,0.524893
0.963,0.310121
0.964,0.160558
0.965,0.090806
0.966,0.076856
0.967,0.084966
0.968,0.095348
0.969,0.088211
0.97,0.083669
0.971,0.078802
0.972,0.064852
0.973,0.038573
0.974,0.009699
0.975,-0.017553
0.976,-0.046103
0.977,-0.074004
0.978,-0.100607
0.979,-0.127535
0.98,-0.157707
0.981,-0.184635
0.982,-0.207669
0.983,-0.223891
0.984,-0.234921
0.985,-0.226811
0.986,-0.220646
0.987,-0.222269
0.988,-0.239463
0.989,-0.251143
0.99,-0.256658
0.991,-0.276773
0.992,-0.302727
0.993,-0.316677
0.994,-0.325113
0.995,-0.333548
0.996,-0.341983
0.997,-0.346201
0.998,-0.351067
0.999,-0.362422
1,-0.367613
1.001,-0.369235
1.002,-0.359502
1.003,-0.362422
1.004,-0.366315
1.005,-0.369884
1.006,-0.371182
1.007,-0.370857
1.008,-0.368586
1.009,-0.363071
1.01,-0.355285
1.011,-0.352689
1.012,-0.359502
1.013,-0.367937
1.014,-0.367937
1.015,-0.365342
1.016,-0.357556
1.017,-0.350094
1.018,-0.330628
1.019,-0.323815
1.02,-0.326735
1.021,-0.322517
1.022,-0.338414
1.023,-0.357231
1.024,-0.374101
1.025,-0.38351
1.026,-0.379617
1.027,-0.368262
1.028,-0.363395
1.029,-0.365342
1.03,-0.358204
1.031,-0.353338
1.032,-0.365991
1.033,-0.383186
1.034,-0.39746
1.035,-0.404273
1.036,-0.408815
1.037,-0.412384
1.038,-0.416602
1.039,-0.417899
1.04,-0.41206
1.041,-0.404598
1.042,-0.401678
1.043,-0.410113
1.044,-0.421793
